	WER_MEAN	CORTEX_MEAN	pet111_MEAN	scr5_MEAN	wol_MEAN
244932_at	0.626566361	0.711821363	0.590612266	1.701393046	2.678304468
244933_at	0.589955147	0.596974578	0.520494438	1.393429704	3.11776412
244934_at	0.865477886	0.75317896	0.882697444	3.117795277	5.904997445
244935_at	3.367614891	4.534584903	3.510262286	3.529144599	5.250782346
244936_at	0.945253603	0.901038787	0.859546302	1.240319855	1.841183462
244937_at	0.464079504	0.40178272	0.405601864	0.808802509	1.241009764
244938_at	0.773670634	1.641206354	0.715286192	1.916096214	3.219812421
244939_at	0.497253334	0.437218601	0.490372002	1.00140751	1.608422122
244940_at	0.730984925	1.296267693	0.650990622	1.805234469	2.734527311
244941_at	0.897532586	0.700519856	0.730313551	1.100660709	1.364728995
244942_at	0.680754743	0.541784648	0.657231506	0.733192993	1.230081797
244943_at	0.969177595	1.028812824	0.6237929	0.897819253	1.263561361
244944_s_at	1.712744533	5.464116987	1.689174234	3.444540826	5.884811337
244945_at	1.945809753	1.789217609	0.766556722	1.25805327	1.557751874
244946_at	1.383413263	1.178810833	1.250194135	3.536672743	5.297169177
244947_at	0.493852412	0.4758486	0.470316822	0.700579002	0.873729297
244948_at	0.4756468	0.46708761	0.483637617	0.623722478	0.782656493
244949_at	0.576434339	0.521425325	0.473360588	0.597334889	0.72344966
244950_at	2.129826335	1.332632832	0.801161626	1.046333012	1.328430002
244951_s_at	0.980368608	1.402184616	0.956922218	1.392391422	2.007036209
244952_at	0.509679572	0.469548461	0.464302564	0.69049701	0.95881126
244953_s_at	1.12790291	1.160311056	0.723419645	1.397924998	2.010006365
244954_s_at	0.413750912	0.375886696	0.369742279	0.462406827	0.747076563
244955_at	0.466432575	0.490955889	0.437360791	0.61381695	0.744446887
244956_s_at	0.585295315	0.604372593	0.568914323	0.777198711	0.92094538
244957_at	0.536469956	0.607491729	0.589977292	0.797159112	1.082218792
244958_at	0.635033007	0.672326154	0.569162115	0.749492876	0.94311242
244959_s_at	1.455386942	2.826302293	0.872451915	2.202610729	3.047839998
244960_at	1.922116792	2.433725892	0.836455789	1.490491743	2.280576351
244961_at	1.964134254	5.416834232	1.621680172	4.766355793	7.419494549
244962_at	1.754243579	1.374845635	1.289304273	2.835874524	4.778382541
244963_at	1.883676347	4.712249188	1.711385112	2.583861765	4.131089928
244964_at	1.139808214	1.305192826	0.812968404	1.360368079	1.991231786
244965_at	0.543914651	0.81807495	0.425257123	0.980594421	1.633762691
244966_at	0.512784534	0.421934949	0.397905656	1.120261896	1.666128131
244967_at	1.112518205	0.807842612	0.604711993	2.679697489	4.04572751
244968_at	0.937068397	1.576485623	0.667969566	1.732053668	3.013032788
244969_at	0.891407744	1.179400549	0.569486943	0.949891735	1.214582384
244970_at	0.739711521	1.513384618	0.787367527	2.102827939	3.37516751
244971_at	5.846460115	9.899655424	7.797294976	10.14083246	18.35657717
244972_at	0.76129271	0.754621608	1.062336269	1.945993629	3.212187309
244973_at	0.734733155	0.663347733	0.690921801	1.367941525	1.889859138
244974_at	0.640030346	0.644726123	0.515801479	1.121577709	1.537540189
244975_at	1.590626879	1.312011535	0.660616427	1.782786115	2.384583622
244976_at	6.297432438	11.40740208	2.814335189	5.230298593	5.900246044
244977_at	0.54751787	0.526255772	0.521025699	1.224733535	1.879206348
244978_at	2.923433056	9.55558119	7.184808946	4.034743687	3.160660813
244979_at	1.852938354	2.703513298	2.674214081	1.58186528	1.732961584
244980_at	0.957623264	0.904047722	0.943025825	1.118174372	1.850554661
244981_at	1.019227034	0.736824089	0.774593109	1.368729599	2.561219378
244982_at	0.827325845	1.336984517	0.859171443	1.609045918	3.647479115
244983_at	0.871413046	4.853221286	2.338637222	3.036961163	5.478628848
244984_at	4.308980759	3.95044687	2.427342829	2.405688173	3.189238544
244985_at	3.366173232	1.29577539	0.923973087	1.72280374	2.901247998
244986_at	4.163867169	6.116073991	3.246416315	4.122784324	6.091647855
244987_s_at	11.48905822	11.31878116	6.50244027	8.287729419	9.540631947
244988_s_at	2.999290876	1.894214048	1.024236936	2.86389584	5.074471519
244989_s_at	0.656717168	0.608176002	0.606875208	0.981309462	1.54470356
244990_s_at	0.874558706	0.6836003	0.505111221	2.036441906	3.768375312
244991_s_at	0.695841596	0.533639464	0.510832887	1.135577064	1.683953826
