AFFY ID	AGI
261257_at	At1g05910
261251_at	At1g05920
260927_at	At1g05940
260945_at	At1g05950
260961_at	At1g05960
260960_at	At1g05990
260955_at	At1g06000
260946_at	At1g06010
260947_at	At1g06020
260956_at	At1g06040
260959_at	At1g06050
260958_at	At1g06060
260957_at	At1g06080
260948_at	At1g06100
260949_at	At1g06110
260954_at	At1g06130
260952_at	At1g06140
260951_at	At1g06145
260783_at	At1g06160
257491_at	At1g06170
260784_at	At1g06180
260793_at	At1g06190
260785_at	At1g06200
260794_at	At1g06210
260795_at	At1g06225
260787_at	At1g06230
260790_at	At1g06240
260791_at	At1g06250
260788_at	At1g06260
260792_at	At1g06270
259419_at	At1g06310
259389_at	At1g06320
259390_at	At1g06340
259392_at	At1g06380
259396_at	At1g06390
259395_at	At1g06400
259393_at	At1g06410
259394_at	At1g06420
262626_at	At1g06430
262625_at	At1g06440
262624_at	At1g06450
262629_at	At1g06460
262623_at	At1g06470
262628_at	At1g06490
262631_at	At1g06500
262622_at	At1g06510
262630_at	At1g06520
262621_at	At1g06530
262620_at	At1g06540
262619_at	At1g06550
262618_at	At1g06560
262635_at	At1g06570
262627_at	At1g06580
262617_at	At1g06590
262616_at	At1g06620
262633_at	At1g06630
262637_at	At1g06640
262638_at	At1g06650
262636_at	At1g06670
262632_at	At1g06680
262634_at	At1g06690
260835_at	At1g06700
260826_at	At1g06710
260824_at	At1g06720
260834_at	At1g06730
260827_at	At1g06740
260828_at	At1g06750
260830_at	At1g06760
260823_at	At1g06770
260832_at	At1g06780
260822_at	At1g06790
260833_at	At1g06800
260825_at	At1g06810
260821_at	At1g06820
260831_at	At1g06830
260820_at	At1g06840
260819_at	At1g06850
260818_at	At1g06890
260817_at	At1g06900
260816_at	At1g06930
260815_at	At1g06950
256052_at	At1g06960
256051_at	At1g06970
256066_at	At1g06980
256059_at	At1g06990
256050_at	At1g07000
256049_at	At1g07010
256048_at	At1g07025
256055_at	At1g07030
256061_at	At1g07040
256060_at	At1g07050
256047_at	At1g07060
256065_at	At1g07070
256034_at	At1g07080
256062_at	At1g07090
256036_at	At1g07110
256054_at	At1g07120
256063_at	At1g07130
256035_at	At1g07140
256045_at	At1g07150
256044_at	At1g07160
256067_at	At1g07170
256057_at	At1g07180
256056_at	At1g07190
256043_at	At1g07210
256042_at	At1g07220
256041_at	At1g07230
256058_at	At1g07240
256033_at	At1g07250
256053_at	At1g07260
256040_at	At1g07270
261075_at	At1g07280
261074_at	At1g07290
261073_at	At1g07300
261083_at	At1g07310
261078_at	At1g07320
257489_at	At1g07330
261072_at	At1g07340
261081_at	At1g07350
261082_at	At1g07360
261080_at	At1g07370
261071_at	At1g07380
261070_at	At1g07390
261069_at	At1g07410
261076_at	At1g07420
261077_at	At1g07430
261084_at	At1g07440
261068_at	At1g07450
261067_at	At1g07460
261066_at	At1g07490
261065_at	At1g07500
261064_at	At1g07510
261063_at	At1g07520
261062_at	At1g07530
261061_at	At1g07540
261091_at	At1g07550
261090_at	At1g07560
261089_at	At1g07570
261088_at	At1g07590
261410_at	At1g07610
261435_at	At1g07620
261413_at	At1g07630
261409_at	At1g07640
261434_at	At1g07650
261432_at	At1g07680
261466_at	At1g07690
261417_at	At1g07700
261465_at	At1g07705
261420_at	At1g07720
261463_at	At1g07740
261437_at	At1g07745
261415_at	At1g07750
261416_at	At1g07770
261411_at	At1g07790
261414_at	At1g07795
261418_at	At1g07830
261419_at	At1g07840
261462_at	At1g07850
261461_at	At1g07860
261436_at	At1g07870
261460_at	At1g07880
261412_at	At1g07890
260677_at	At1g07910
257495_at	At1g07960
260678_at	At1g07970
260622_at	At1g07980
260679_at	At1g07990
260681_at	At1g08020
260626_at	At1g08040
260648_at	At1g08050
260625_at	At1g08060
260621_at	At1g08065
260620_at	At1g08070
260649_at	At1g08080
260623_at	At1g08090
260624_at	At1g08100
260619_at	At1g08110
261810_at	At1g08130
261816_at	At1g08135
261755_at	At1g08170
261817_at	At1g08180
261783_at	At1g08190
261757_at	At1g08210
261784_at	At1g08220
261785_at	At1g08230
261758_at	At1g08250
261811_at	At1g08260
261812_at	At1g08270
261813_at	At1g08280
261814_at	At1g08310
261756_at	At1g08315
261815_at	At1g08320
261809_at	At1g08340
261747_at	At1g08350
261694_at	At1g08360
261693_at	At1g08370
261746_at	At1g08380
261742_at	At1g08390
245227_s_at	At1g08410
257481_at	At1g08430
261692_at	At1g08450
261720_at	At1g08460
261696_at	At1g08470
261721_at	At1g08480
261744_at	At1g08490
261745_at	At1g08500
261722_at	At1g08510
261695_at	At1g08520
264781_at	At1g08540
264799_at	At1g08550
264802_at	At1g08560
264779_at	At1g08570
264803_at	At1g08580
264804_at	At1g08590
264805_at	At1g08600
264806_at	At1g08610
264792_at	At1g08620
264777_at	At1g08630
264811_at	At1g08640
264783_at	At1g08650
264793_at	At1g08660
264794_at	At1g08670
264795_at	At1g08680
264796_at	At1g08680
264807_at	At1g08700
264780_at	At1g08720
264798_at	At1g08730
264810_at	At1g08750
264808_at	At1g08770
264778_at	At1g08780
264800_at	At1g08800
264782_at	At1g08810
264809_at	At1g08830
264801_at	At1g08840
264646_at	At1g08860
264651_at	At1g08880
264652_at	At1g08920
264624_at	At1g08930
264645_at	At1g08940
264644_at	At1g08960
264650_at	At1g08970
264653_at	At1g08980
264643_at	At1g08990
264623_at	At1g09000
264625_at	At1g09020
264642_at	At1g09030
264649_at	At1g09060
264655_at	At1g09070
264648_at	At1g09080
264647_at	At1g09090
264657_at	At1g09100
264641_at	At1g09130
264255_at	At1g09140
264254_at	At1g09150
264263_at	At1g09155
264266_at	At1g09160
264253_at	At1g09170
264252_at	At1g09180
264251_at	At1g09190
264262_at	At1g09200
264260_at	At1g09210
264258_at	At1g09220
264257_at	At1g09230
264261_at	At1g09240
264264_at	At1g09250
264256_at	At1g09270
264259_at	At1g09290
